"gene","nes","pval"
"FOSB",9.64013074819431,5.41190005417785e-22
"AKNA",-8.85003923778079,8.74885311706445e-19
"ETS1",-8.75033648628918,2.1271751515411e-18
"ZEB2",-8.45973785656738,2.6797923144888e-17
"KLF13",-8.22879647662633,1.89103760558411e-16
"JUNB",7.36509895746561,1.7701550750361e-13
"KLF2",-7.32494128198383,2.39003338882731e-13
"RUNX3",-6.58655220723422,4.5015731509751e-11
"NR4A1",6.57884991099676,4.74101035538744e-11
"REL",6.06366895621746,1.33050871669104e-09
"PRDM1",-5.70559380466837,1.15938185268e-08
"ATF3",5.45678678675589,4.84827938022286e-08
"FOS",4.86447259736315,1.1476240486011e-06
"BPTF",-4.41337715203361,1.0177047693211e-05
"NR4A2",4.22480105988619,2.39151947419932e-05
"ZNF331",4.21909834588751,2.45281270842444e-05
"JUN",3.85601375103698,0.000115251007465152
"ZNF683",3.80562057179257,0.000141449086168188
"IKZF1",-3.80168537235533,0.000143715154265195
"DRAP1",-3.7250229120115,0.000195297482905076
"SON",-3.67136429541857,0.000241259168784274
"JUND",-3.66492230000173,0.000247413685122695
"EGR1",3.65782618005396,0.000254363447303414
"EGR3",3.2420156654364,0.00118687498153514
"GPBP1",3.23782994753912,0.00120442577557099
"KLF6",3.23712849277025,0.00120739033790571
"PA2G4",-3.11438550371363,0.00184328481498027
"GTF3A",-2.93794379568145,0.00330396915089467
"ZNF207",-2.48004390224883,0.013136620709617
"MYB",2.47724834598727,0.0132399740290542
"MXD1",2.33918561488701,0.0193258292468198
"ASCL2",-2.30163003139099,0.0213560450560482
"YBX1",2.27043157541305,0.0231814104956031
"ZNF90",-2.25428258501212,0.0241783961987117
"STAT4",-2.11059219487861,0.0348073791248296
"MXD4",-2.07427787982642,0.0380535109441292
"ZFHX2",2.05353281451561,0.0400209305863014
"FOXN3",-1.99705692839053,0.0458189991387145
"TOPORS",1.96038813808756,0.049950441236693
"HMGN3",-1.91778779891795,0.0551379234763911
"TBX21",-1.91562382835234,0.0554129943038954
"AHRR",1.88294013303299,0.0597084815913325
"SNAI1",1.8668783538717,0.0619185773250643
"PIN1",-1.86323769736221,0.0624288313045612
"NFKB1",1.80349700488582,0.0713101953994873
"PHF19",-1.71805109691719,0.0857872956085643
"ELF1",1.71684896272252,0.0860067721192496
"MYBL1",-1.64088775456481,0.100820717402803
"RORA",-1.55080524161499,0.120948364105812
"ZNF292",-1.53897919083002,0.123809376481808
"ETV4",1.53888733177912,0.123831804392657
"DPF3",1.48254735627864,0.138194712752311
"MEF2C",-1.44062618591877,0.149690318453121
"KLF3",-1.37247525217974,0.169915537842323
"CEBPB",-1.36197319380743,0.173206345020771
"TFEB",-1.34135006956356,0.179806820582566
"ATF4",1.31984193357882,0.186887797774224
"PHF20",-1.2809744887879,0.200202626922654
"NME2",-1.2572296045661,0.208670506186224
"ZHX2",-1.25031385861939,0.211184917843424
"ZNF696",-1.2229274641669,0.221357094272849
"MAZ",-1.21285918666015,0.225183662022977
"CREBZF",-1.19162431979472,0.233408584674533
"NFKB2",1.10318488591347,0.269946883498238
"MXD3",-1.10060057533713,0.271070535035115
"IRF7",1.0998790253547,0.27138483457954
"XBP1",-1.08165589449081,0.279405458071239
"CSRNP1",1.06708555734802,0.285933202997023
"CENPA",-1.06344268526141,0.287581243985987
"FOXD2",-1.06286185692203,0.287844602830355
"EGR4",1.05439213373613,0.291703422211534
"TAL1",-1.04165979738532,0.297569434270425
"CREM",1.02089024072227,0.307306443395233
"SP100",-1.01057892972145,0.312218004632364
"ATF6B",-0.991698344088016,0.321344699077716
"ZNF583",-0.97422184418334,0.329946400812431
"GTF2I",-0.954703145927775,0.339727838517657
"ZNF239",-0.951144235618517,0.341531161787572
"RBPJ",0.946636042970896,0.343824271030479
"BACH2",0.941533846804461,0.346431352554785
"KLF4",0.930998012809709,0.351854592101409
"TFDP2",-0.919276614518615,0.357950906446685
"PLSCR1",0.916548489695639,0.359379287063848
"EGR2",0.901694184145203,0.367219343312249
"MECP2",-0.901390333802399,0.367380819019373
"KLF12",-0.891562537209824,0.37262745767378
"ZNF845",-0.889758527611852,0.373595559765452
"SOX5",0.873094190718062,0.382611740056263
"DNMT1",-0.868326761508292,0.385215475860625
"CASZ1",-0.844195352384589,0.398560251221878
"ZNF276",-0.839696428628648,0.401078616931949
"E2F7",0.836045219735918,0.403129464261167
"EPAS1",0.830129419793338,0.406465615063349
"ZNF398",-0.821763450661716,0.411211539075113
"HIVEP2",-0.812999076462009,0.416218587667996
"OVOL2",0.807765533595797,0.419225569843883
"SP140",-0.792321364987084,0.428173317173418
"ZBTB1",-0.790957735098188,0.428968655417933
"ZNF205",-0.788601686515778,0.43034484492175
"ZBTB38",-0.779871252620065,0.435466660979485
"SOX15",-0.775542940803866,0.438018901885545
"ZNF655",-0.772289257559921,0.439943126457125
"YY1",-0.749501666689901,0.453554894462489
"BATF",0.738598880069935,0.460150604487752
"FOXM1",-0.736736267981977,0.461282746820467
"ZNF440",0.733731759004425,0.463112238394902
"DEAF1",-0.724958094050095,0.4684777393748
"ZNF367",0.717559619301901,0.473028863431064
"MYC",0.716351366083001,0.473774417011449
"ZNF254",-0.710777457278676,0.477222152016573
"ZNF782",-0.707187122619231,0.479450199991479
"ZFPM1",-0.706354778916098,0.479967535442082
"ZNF296",0.705236757186882,0.480662910170219
"ZNF625",-0.703080622249251,0.482005507518771
"ETS2",0.699258085183778,0.484390756377043
"ZNF529",-0.696066865083928,0.486386956200977
"TSHZ2",0.692682871820774,0.488508590361644
"TERF1",-0.689933079168,0.490236272376417
"TSHZ3",-0.686101806395043,0.492648911907223
"ZBTB7A",-0.685453586826491,0.493057739115373
"LYL1",0.675801104198673,0.499166933553573
"ZNF891",0.667695989792851,0.504327670356988
"EEA1",-0.667632809289052,0.504368009268182
"HHEX",0.66581153638012,0.505531570116263
