"regulon","avg_log2FC","pval","gene","p_val_adj","sig"
"PBX3(+)",0.0313725386426222,0.844835897674315,"PBX3",0.857762348567693,"NS"
"CAMTA2(+)",-0.0574729002895745,0.852833638445647,"CAMTA2",0.864937172615727,"NS"
"ZNF256(+)",0.0154551449847333,0.857137011202726,"ZNF256",0.8683536351225,"NS"
"ZNF586(+)",0.0189051895143935,0.877711305991011,"ZNF586",0.888228543862363,"NS"
"RFX8(+)",-0.0164781370814213,0.883450263454988,"RFX8",0.893063432807055,"NS"
"SMAD3(+)",0.014063235866541,0.884676243273179,"SMAD3",0.89333068478346,"NS"
"ZNF704(+)",-0.02606907843451,0.906426129912253,"ZNF704",0.914299538206822,"NS"
"E2F7(+)",-0.00331398770488871,0.908142675523445,"E2F7",0.915037468070803,"NS"
"FAM200B(+)",-0.00977862788915413,0.911675125264173,"FAM200B",0.917601507443572,"NS"
"ZBTB1(+)",-0.028396127938658,0.913963743049069,"ZBTB1",0.918909434299335,"NS"
"THRA(+)",-0.0344729124777306,0.938303485700151,"THRA",0.942361014286963,"NS"
"ZNF587(+)",0.0131302007334355,0.939534379299039,"ZNF587",0.942578227180137,"NS"
"ZNF100(+)",0.0119136419743473,0.986491115297309,"ZNF100",0.988619467218123,"NS"
"MTF1(+)",0.00183754011464744,0.987980697197348,"MTF1",0.989045331569328,"NS"
"ZNF184(+)",-0.0132405721401344,0.995293699739471,"ZNF184",0.995293699739471,"NS"
