"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","NK_cluster"
"GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP",0.0031996800319968,0.02176,0.256635016972443,0.59751816669264,1.3679674552296,150,"MKI67;TK1;KIF14;PKMYT1;GGH;SMC2;PRIM1;SKA1;MIS18A;RFC5;RECQL4;TTF2;SMS;POP7;PPIH;DCTPP1;LSM4;HDGF;POLD1;CALM3;RANGRF;HAT1;NDUFA8;COA3;HSD17B10;REEP4;GINS4;COX8A;TFPT;POP4;TPRKB;PRPF19;NDUFS3;PDHA1;PSMA4;RPP30;VBP1;POLDIP2;ACTB;EXOSC9;TIMM8A;NIT2;CPOX;EEF1E1;TIMM8B;PTBP1;TPI1;GEMIN2;TOMM40;NUP188;PSMA3;NFYC;GOT1;RMI1;CCT8;LSM7;MTX1;TMEM11;COX17;ATF6;EIF6;PSME2;GOT2;ALDOA;UQCRFS1;TCERG1;PSMD13","5"
"GSE34179_THPOK_KO_VS_WT_VA14I_NKTCELL_DN",0.0032,0.02176,0.256635016972443,0.66802794664019,1.50314929362767,70,"TOP2A;RRM2;ESCO2;BRCA1;HELLS;ATAD5;DUT;ECT2;SUV39H2;NDUFB6;EXOSC3;SNRPF;NCS1;CCT2;NDFIP2;TCEAL8;CTPS1;GLRX5;NDUFS3","5"
"GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN",0.0034,0.0226878504672897,0.248832632022043,0.652888876669287,1.47456896189615,80,"CDCA8;RAD51AP1;CCNA2;PBK;CENPE;E2F8;HMGB2;LRR1;INCENP;SASS6;ENO1;MPP1","5"
"GSE45365_CD8A_DC_VS_CD11B_DC_UP",0.0033996600339966,0.0226878504672897,0.248832632022043,0.651995810129947,1.47357970179956,82,"UBE2C;HJURP;ANLN;NCAPH;BUB1;KIF18B;APOBEC3B;CCNB1;RFC2;GPSM2;MIS18BP1;FAM111A;CHCHD1;COA3;BABAM1;SUPT16H;GLRX5;MZT2B;RIF1;VBP1;TMEM60;SNX8;BLVRA;COQ5;DBF4","5"
"GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN",0.0039,0.0257833333333333,0.232056818075608,0.650055782074474,1.46817033342366,80,"ASF1B;CENPM;KIF4A;MCM7;PCNA;DNAJC9;MCM6;MSH2;TUBA1B;INCENP;TOPBP1;DEK;NUCKS1;POLR3K;HMGB1;LSM4;OXCT1;HMGXB4;WDR1;TRAF2;PCMT1;RAD23A;SDHC;ACTB;EXOSC9;CHCHD2;CTCF;ACTG1;PPIA;UQCRQ;NELFCD;NUDCD2","5"
"GSE22443_NAIVE_VS_ACT_AND_IL12_TREATED_CD8_TCELL_UP",0.003999600039996,0.0261992149408912,0.229089382980959,0.61870178320555,1.40791244975207,112,"TOP2A;AURKB;ASF1B;CENPA;NCAPH;TRIP13;E2F1;RFC4;DNMT1;PPIH;TOPBP1;NME1;IDH2;IMPA2;LSM3;SMC3;OXCT1;TMEM141;MPP1;LAGE3;TMEM97;ACP2;FH","5"
"GSE7764_NKCELL_VS_SPLENOCYTE_DN",0.0041995800419958,0.0272590922725909,0.223479119117479,0.620934221571991,1.41180196851268,106,"SPC24;TOP2A;MKI67;TYMS;KIF23;CENPF;SHCBP1;NEK2;CCNF","5"
"GSE6259_BCELL_VS_CD8_TCELL_DN",0.0049,0.0315189189189189,0.206652311234449,0.643530300791929,1.45343233970908,80,"CCNA2;CENPU;NEK2;NDC80;RMI2;ZNF367;NCAPD3;VRK1;SEPHS1;CNTLN;PSIP1","5"
"GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP",0.0052994700529947,0.0337841215878412,0.198584486969905,0.64233033672441,1.45112758647268,81,"MKI67;KIF11;NCAPG;DEPDC1B;STMN1;RACGAP1;GMNN;PAICS;CHAF1B;FAM111A;SLBP","5"
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN",0.0064,0.0404389380530973,0.180467893079923,0.639251846770303,1.44376932394845,80,"UBE2C;RRM2;CEP55;DHFR;RNASEH2A;APOBEC3B;CDK2;STIL;UNG;CD38;GMPS;MIS18BP1;RTN3;OAS3;RAB11A;DERA;USP18;PLSCR1;AP1S1;IFI35;SMC6;OAS1;ATG3;PGLS;EIF2AK2;EIF2S2;EAF2;PPIA;UBE2L6","5"
"GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_DN",0.00710355177588794,0.0444906663858245,0.171214318379654,0.695363673134204,1.53739509425654,43,"SPC25;RRM2;OIP5;TRAIP;RBBP8;CD38","5"
"GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN",0.0074992500749925,0.0465605613351708,0.166521148019972,0.597889811643939,1.36284965419021,123,"CENPM;CKAP2L;CDC45;SHCBP1;DTYMK;CDC25C;WDR76;PLK4;POLD2;CKAP2;SNRPD1;THOC3;NUCKS1;POLR3K;MIS18BP1;STOML2;CBX3;NUP93;PRPF31;NDUFB3;MKKS;DCXR;UCHL3;MCM8;TIMM23;DERA;NDUFS6;DCTN2;NSMCE1;LCMT1;CDC123;G2E3;DRG1;ALG5;ZFYVE19;PSMC1;GALE;NIT2;MCEE;TIPRL;NDUFS8;COQ3;TOMM40;POLE3;ZCCHC17","5"
"GSE27786_LIN_NEG_VS_NKCELL_UP",0.0076992300769923,0.0473900885773492,0.164313492356652,0.623579433907411,1.41191670391028,88,"CDK1;DIAPH3;CENPH;CCDC34;CCNF;HADH;GPSM2;KNTC1;SAE1;ANP32B;VRK1;TOPBP1;ADSL;COPRS;TIPIN;COPS3;NUP93;MGME1;LRRC42;PSMB2;CLNS1A;MGMT;PCNT;ADI1;SRRT;SUCLG1;TIMM9;PSMG2;TIMM8B;NENF;SUV39H1;BDH1;TXN2","5"
"GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP",0.0080991900809919,0.0494258266481044,0.160146983509279,0.595612789709879,1.35740077145661,122,"SPC24;TYMS;BIRC5;SHCBP1;ORC1;PRR11;RRM1;PLK4;EZH2;PTTG1;TUBA1B;SAPCD2;CKAP2;NDUFB6;STOML2;COPS3;GUSB;BCKDK;TSPAN5;REEP4;PIN1;NUTF2;EBP;NEMP1;RAB11A;WEE1;ADK;GPN3;CYB5R3;ECI2;EEF1E1;TIMM8B;SUV39H1","5"
