"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.18487890556279e-97,4.99815448433402,0.108,0.001,5.89607589004742e-93,"5","TRAIP"
1.23086593799913e-96,2.80119159495037,0.254,0.012,1.73416702004697e-92,"5","RFC3"
1.90821940996703e-96,2.39313111230005,0.469,0.044,2.68849032670254e-92,"5","HADH"
1.85263951002307e-95,2.62065875377019,0.577,0.069,2.61018380567151e-91,"5","MCM3"
2.26447688076433e-95,3.49940126406261,0.2,0.007,3.19042147730887e-91,"5","PARPBP"
3.17011053130068e-95,2.47275010751277,0.292,0.017,4.46636872754953e-91,"5","TUBG1"
4.70255655857491e-95,2.79025167961079,0.9,0.195,6.62543193537619e-91,"5","DUT"
3.93995665796765e-94,4.12495385609528,0.123,0.002,5.55100493541062e-90,"5","PSRC1"
4.44629069497046e-94,2.30352932316478,0.569,0.066,6.26437896014388e-90,"5","EZH2"
1.52136654233002e-93,2.12185201357276,0.623,0.078,2.14345332148876e-89,"5","CBX5"
2.14836062874422e-93,2.58090264291596,0.515,0.056,3.02682528983773e-89,"5","KIF20B"
8.22425926288406e-93,5.41686314787641,0.1,0.001,1.15871588754774e-88,"5","E2F2"
1.06521497736697e-92,2.03310227098128,0.662,0.088,1.50078138161232e-88,"5","SKA2"
4.0275355655247e-92,2.7296213918935,0.423,0.038,5.67439485826775e-88,"5","TACC3"
6.33197728949521e-90,3.21461404347183,0.215,0.009,8.92112280316979e-86,"5","FANCD2"
9.06522326461252e-90,4.08858004216953,0.169,0.005,1.27719930575126e-85,"5","POLE2"
2.94619118253517e-89,4.24998840777111,0.115,0.002,4.15088875707381e-85,"5","RECQL4"
1.20848448649825e-88,3.16845973016599,0.215,0.009,1.70263379302738e-84,"5","TIMELESS"
1.7534746115087e-88,2.06191986808492,0.431,0.04,2.4704703801546e-84,"5","IFI27L1"
2.70607709236595e-87,2.54094085545046,0.4,0.036,3.81259201543438e-83,"5","RFC4"
1.43396854379742e-86,2.00612247617457,0.423,0.039,2.02031828135618e-82,"5","BCL2L12"
2.78032545476097e-85,2.03781683911987,0.677,0.101,3.91720053321273e-81,"5","USP1"
1.23949574151796e-83,5.47723823866596,0.1,0.001,1.74632555022465e-79,"5","TTK"
1.45223509109551e-83,3.6550401413098,0.154,0.005,2.04605401984447e-79,"5","CENPO"
1.74699712890178e-83,2.2639588640443,0.715,0.117,2.46134425490971e-79,"5","TMPO"
1.13549034733199e-82,3.58067813637145,0.146,0.004,1.59979235035603e-78,"5","ZNF367"
4.90846400246791e-82,1.7014290862156,0.446,0.046,6.91553493307704e-78,"5","ACOT7"
8.49329286365078e-82,2.36881103969778,0.408,0.039,1.19662003155976e-77,"5","PAICS"
1.6968141467226e-81,3.3953617255152,0.131,0.003,2.39064145131747e-77,"5","DDIAS"
