"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"LAIR2",8.56256387057408e-25,-2.61632152738585,0.026,0.146,1.20637962372518e-20,"Upregulated in Mature Cytotoxic NK"
"FKBP4",8.75291195973121e-25,1.61531563310693,0.185,0.066,1.23319776600653e-20,"Upregulated in Activated Stressed NK"
"ID1",2.38949927732437e-24,2.33582902552133,0.14,0.04,3.36656553182231e-20,"Upregulated in Activated Stressed NK"
"ADD3",2.50513235627714e-24,-1.56665062263023,0.111,0.265,3.52948097675886e-20,"Upregulated in Mature Cytotoxic NK"
"SGK1",5.69991633450497e-24,2.35221563748686,0.111,0.025,8.03061212368405e-20,"Upregulated in Activated Stressed NK"
"CTSA",9.66042610047843e-24,1.46992987361124,0.227,0.098,1.36105743329641e-19,"Upregulated in Activated Stressed NK"
"NXF1",1.0752161865825e-23,1.48057209607187,0.217,0.09,1.51487208527609e-19,"Upregulated in Activated Stressed NK"
"MBP",1.6418831749397e-23,-1.01955913262247,0.269,0.439,2.31324920517255e-19,"Upregulated in Mature Cytotoxic NK"
"PTPN12",2.47697587992315e-23,-1.41709857764517,0.09,0.236,3.48981131722373e-19,"Upregulated in Mature Cytotoxic NK"
"CSRNP1",2.48708497216337e-23,1.23901513420425,0.31,0.164,3.50405401728097e-19,"Upregulated in Activated Stressed NK"
"SPRY2",4.23138474277891e-23,2.10255052585056,0.108,0.024,5.9615979641012e-19,"Upregulated in Activated Stressed NK"
"GNG2",5.42209721298698e-23,-1.05943807960363,0.239,0.404,7.63919276337736e-19,"Upregulated in Mature Cytotoxic NK"
"SOCS1",6.1970787210077e-23,1.00299263818019,0.411,0.256,8.73106421002775e-19,"Upregulated in Activated Stressed NK"
"CARD19",9.42744686138238e-23,1.24120186746493,0.225,0.096,1.32823298830016e-18,"Upregulated in Activated Stressed NK"
"PMAIP1",1.58620458521196e-22,1.13147351786199,0.361,0.207,2.23480364010513e-18,"Upregulated in Activated Stressed NK"
"NCF1",2.2056845276643e-22,2.02094534692209,0.118,0.03,3.10758893102623e-18,"Upregulated in Activated Stressed NK"
"CAST",3.76314974265452e-22,-1.09931195251096,0.217,0.378,5.30190167242595e-18,"Upregulated in Mature Cytotoxic NK"
"PHLDA1",8.14411836491671e-22,1.52021585480568,0.248,0.119,1.14742483643311e-17,"Upregulated in Activated Stressed NK"
"IL7R",3.36323540425009e-21,1.71790451026002,0.129,0.038,4.73846236104795e-17,"Upregulated in Activated Stressed NK"
"KLF3",4.23588709798232e-21,-1.58931573514667,0.067,0.196,5.96794133234729e-17,"Upregulated in Mature Cytotoxic NK"
"ZNF296",4.37105212178295e-21,2.21124377075277,0.106,0.026,6.15837533438e-17,"Upregulated in Activated Stressed NK"
"TUBB2A",5.12093229362842e-21,1.636681181237,0.15,0.051,7.21488150849309e-17,"Upregulated in Activated Stressed NK"
"MYBL1",7.03654929939328e-21,-1.62597056436322,0.07,0.199,9.9137943079152e-17,"Upregulated in Mature Cytotoxic NK"
"ENC1",8.06891679096598e-21,-3.08611242207525,0.018,0.115,1.1368296866792e-16,"Upregulated in Mature Cytotoxic NK"
"ICAM1",9.24110246321002e-21,1.77768875318439,0.135,0.043,1.30197892604166e-16,"Upregulated in Activated Stressed NK"
"PRDM1",1.31300586257413e-20,-1.1711934098266,0.154,0.306,1.84989395978069e-16,"Upregulated in Mature Cytotoxic NK"
"GNPTAB",1.47450580970734e-20,-1.18341984468924,0.156,0.304,2.07743123529667e-16,"Upregulated in Mature Cytotoxic NK"
"CCL4L2",2.04574435234441e-20,-1.41806811390804,0.263,0.417,2.88224921801804e-16,"Upregulated in Mature Cytotoxic NK"
"RNASEK",6.8908465937893e-20,-1.37678703543512,0.115,0.253,9.70851376598974e-16,"Upregulated in Mature Cytotoxic NK"
"FGL2",8.83341755289587e-20,-2.07525632714193,0.031,0.135,1.2445401990275e-15,"Upregulated in Mature Cytotoxic NK"
"ABI3",1.06481233275301e-19,-1.01768483935413,0.17,0.32,1.50021409561572e-15,"Upregulated in Mature Cytotoxic NK"
"YPEL3",1.09877566254092e-19,-1.20756917925897,0.158,0.302,1.5480650309539e-15,"Upregulated in Mature Cytotoxic NK"
"CXCR3",2.393807314937e-19,1.50379082766326,0.143,0.05,3.37263512601474e-15,"Upregulated in Activated Stressed NK"
"AHNAK",3.01099378614584e-19,-1.0735124709829,0.167,0.317,4.24218914530087e-15,"Upregulated in Mature Cytotoxic NK"
"RBPJ",3.13945953810728e-19,1.25069817623817,0.245,0.121,4.42318454323934e-15,"Upregulated in Activated Stressed NK"
"ACP5",3.32839420083295e-19,1.68187358475599,0.127,0.04,4.68937458955355e-15,"Upregulated in Activated Stressed NK"
"PDE4B",3.74153937280077e-19,1.47361968680855,0.173,0.07,5.27145482233901e-15,"Upregulated in Activated Stressed NK"
"CHST2",4.48537683893104e-19,-2.16195083645281,0.038,0.141,6.31944742836995e-15,"Upregulated in Mature Cytotoxic NK"
"ATM",6.80031650840212e-19,-1.03220797554117,0.176,0.321,9.58096592868774e-15,"Upregulated in Mature Cytotoxic NK"
"TYMP",2.60352083344906e-18,1.2559332163462,0.218,0.103,3.66810050224639e-14,"Upregulated in Activated Stressed NK"
"MTSS1",4.17594583829608e-18,-2.25886485461172,0.027,0.121,5.88349009157535e-14,"Upregulated in Mature Cytotoxic NK"
"STMN1",5.89806270286175e-18,1.27735585807544,0.213,0.101,8.30978054206191e-14,"Upregulated in Activated Stressed NK"
"ITGAL",9.9754601587124e-18,-1.09982081622639,0.134,0.27,1.40544258176099e-13,"Upregulated in Mature Cytotoxic NK"
"MYO1G",1.13654426949177e-17,-1.05554378186829,0.149,0.286,1.60127722128695e-13,"Upregulated in Mature Cytotoxic NK"
"HIPK2",1.81871805940852e-17,-1.70596374428526,0.048,0.152,2.56239187390066e-13,"Upregulated in Mature Cytotoxic NK"
"GK5",2.15461297904778e-17,-1.97905361634001,0.039,0.136,3.03563422618041e-13,"Upregulated in Mature Cytotoxic NK"
"IER5",2.29917223103521e-17,1.14744370748784,0.292,0.17,3.2393037563055e-13,"Upregulated in Activated Stressed NK"
"SLC5A3",5.27544403940904e-17,1.3189193624604,0.194,0.089,7.4325731071234e-13,"Upregulated in Activated Stressed NK"
"TCF7",5.27751036673032e-17,1.37527451858278,0.166,0.07,7.43548435568635e-13,"Upregulated in Activated Stressed NK"
"TUBA1C",7.36088031763178e-17,1.4384497477218,0.159,0.066,1.03707442795114e-12,"Upregulated in Activated Stressed NK"
"ICAM2",8.39736126519963e-17,-1.4477645997873,0.092,0.208,1.18310422865398e-12,"Upregulated in Mature Cytotoxic NK"
"RAP2B",9.99551142725717e-17,-1.63306661026489,0.065,0.172,1.40826760498626e-12,"Upregulated in Mature Cytotoxic NK"
"CAPN12",1.17898332274928e-16,1.26995714558253,0.167,0.071,1.66106960342146e-12,"Upregulated in Activated Stressed NK"
"LGALS3",1.24727839366036e-16,1.1146147767695,0.227,0.116,1.75729052882808e-12,"Upregulated in Activated Stressed NK"
"TFDP2",4.1286994449818e-16,-1.08786212975856,0.096,0.212,5.81692464803485e-12,"Upregulated in Mature Cytotoxic NK"
"MARCKSL1",4.52512015587658e-16,1.38045934420153,0.204,0.102,6.37544178761451e-12,"Upregulated in Activated Stressed NK"
"LTB",5.45774284028322e-16,1.07144897774036,0.202,0.098,7.68941388767503e-12,"Upregulated in Activated Stressed NK"
"SSBP3",6.21290243610698e-16,-1.78701125824345,0.034,0.124,8.75335824223112e-12,"Upregulated in Mature Cytotoxic NK"
"SELPLG",7.02161655243477e-16,-1.13286304802259,0.132,0.255,9.89275556072535e-12,"Upregulated in Mature Cytotoxic NK"
"RAB29",9.08793984554987e-16,-1.16888946758333,0.109,0.228,1.28039984483952e-11,"Upregulated in Mature Cytotoxic NK"
"OXNAD1",9.9887817133769e-16,1.28955420019109,0.157,0.067,1.40731945559767e-11,"Upregulated in Activated Stressed NK"
"NDFIP2",1.15008274179342e-15,1.68696806916095,0.109,0.036,1.62035157491275e-11,"Upregulated in Activated Stressed NK"
"CYTH1",1.89053492743564e-15,-1.22944597681787,0.117,0.233,2.66357465926408e-11,"Upregulated in Mature Cytotoxic NK"
"PTPRE",2.73371471567559e-15,-1.07345239609841,0.116,0.234,3.85153066291534e-11,"Upregulated in Mature Cytotoxic NK"
