"NK_cluster","regulon","mean_in","mean_out","log2FC","avg_log2FC","statistic","pval","padj"
1,"ASCL2(+)",0.165281048753809,0.0657861118189489,1.3290663482179,1.3290663482179,58.6615778454089,0,0
1,"KLF3(+)",0.0846999725024875,0.0393258013688101,1.10688531681334,1.10688531681334,55.7077871081466,0,0
1,"FOXD2(+)",0.0137684649466864,0.00676226145377425,1.02578991076408,1.02578991076408,21.9004305968484,2.57337393829228e-106,1.23269851554664e-104
5,"E2F8(+)",0.0863189765157258,0.0327694425095469,1.39732660235101,1.39732660235101,19.1415014456311,1.13938956760768e-81,4.10268569111447e-80
5,"MYBL2(+)",0.109349565995361,0.047519115768656,1.20236758125965,1.20236758125965,18.9494940008435,4.45849681436813e-80,1.5455013211e-78
5,"FOXM1(+)",0.11526684690272,0.056543561343862,1.02754295316546,1.02754295316546,18.4005279209895,1.30091174507094e-75,4.13885962729762e-74
5,"MXD3(+)",0.129392081314948,0.060291348488034,1.10172641309943,1.10172641309943,18.1879983797587,6.42438314974426e-74,1.93774413834819e-72
5,"CENPA(+)",0.0965921465676317,0.0417729321629374,1.20933746179753,1.20933746179753,17.4308104628802,4.8158583225411e-68,1.29304404093661e-66
5,"ARID5B(+)",0.0148634701846531,0.0299658201591618,-1.01154682962645,-1.01154682962645,-15.4812597019527,4.64291632348979e-54,8.80259033575922e-53
5,"KLF9(+)",0.00709464362599935,0.0165702843659863,-1.22379612226453,-1.22379612226453,-15.3273439786291,5.02101033866711e-53,9.36650322213202e-52
5,"MAF(+)",0.00768728686107462,0.0179527841438338,-1.2236610787116,-1.2236610787116,-15.0983096381363,1.66138065596251e-51,2.90117035599469e-50
5,"RUNX1(+)",0.00442109713207328,0.0118007861580962,-1.41640643386078,-1.41640643386078,-14.9769679027992,1.03847830322897e-50,1.7604860286491e-49
5,"STAT6(+)",0.00759411167284083,0.0171204403353084,-1.17276658309333,-1.17276658309333,-14.9348104829832,1.9562948439102e-50,3.29238751810249e-49
5,"KLF3(+)",0.0231583276517471,0.05454295497192,-1.23586175260823,-1.23586175260823,-14.6885937268364,7.62804614854533e-49,1.21760392989667e-47
5,"ZNF565(+)",0.0050220085224122,0.0167795955039217,-1.74037135468432,-1.74037135468432,-14.5264982056381,8.2322517056857e-48,1.24151977834124e-46
5,"PRDM10(+)",0.00508733500073453,0.0124163406488447,-1.28725787305493,-1.28725787305493,-14.4540658534514,2.36314147966207e-47,3.50696235560075e-46
5,"FOXO3(+)",0.00665431836307086,0.0191818607090155,-1.52737973616708,-1.52737973616708,-14.4264529854778,3.52761902062943e-47,5.18537669329864e-46
5,"ELK3(+)",0.00414923408846392,0.013168179132668,-1.66613867095806,-1.66613867095806,-14.3456714313183,1.13397458826888e-46,1.63074673761886e-45
5,"NR1D2(+)",0.0079118788323329,0.0177933581353875,-1.16924647745206,-1.16924647745206,-14.3412669247704,1.20829328900776e-46,1.73225997760527e-45
5,"ZNF808(+)",0.00472477585615582,0.0117391984604842,-1.31301592926308,-1.31301592926308,-14.1874480037885,1.09574215790138e-45,1.52181516651557e-44
5,"CARF(+)",0.00644645344044774,0.0176449201877775,-1.4526751868838,-1.4526751868838,-14.1540027947267,1.76422587835788e-45,2.40317571993324e-44
5,"NFXL1(+)",0.00705795499882259,0.0223028191865139,-1.65990380902548,-1.65990380902548,-14.1482914565657,1.91349927432515e-45,2.583780270128e-44
5,"ZNF44(+)",0.00615864363412388,0.0143824157643923,-1.22362133156439,-1.22362133156439,-14.1348843322384,2.31514074964819e-45,3.10804300061151e-44
5,"SOX4(+)",0.00739855393186124,0.016374027869879,-1.14609392452881,-1.14609392452881,-14.1185247364889,2.9204111072591e-45,3.88690819289929e-44
5,"ZNF14(+)",0.00461027796088824,0.013723335594498,-1.57370533710883,-1.57370533710883,-14.0875963883117,4.52709417584305e-45,5.94021255559067e-44
5,"ZNF790(+)",0.00439154109586971,0.0127182165950638,-1.53409695898927,-1.53409695898927,-13.9850827084377,1.92253216069361e-44,2.46009969322915e-43
5,"ZNF600(+)",0.00749702889899148,0.0204411532615762,-1.44708560310855,-1.44708560310855,-13.9642218037985,2.57704887195773e-44,3.27955945486127e-43
5,"ZNF394(+)",0.00495070646421465,0.0133189728902895,-1.4277763312116,-1.4277763312116,-13.9592364832003,2.76378768752672e-44,3.50759393676547e-43
5,"ZSCAN29(+)",0.0104370852160447,0.0265627686931372,-1.34768658167591,-1.34768658167591,-13.9035751367154,6.02548598105417e-44,7.58492747479583e-43
5,"ZNF611(+)",0.00630482040843871,0.0143844701454009,-1.18998477022163,-1.18998477022163,-13.899993450072,6.33471620240271e-44,7.95263696220557e-43
5,"ZNF571(+)",0.00895432251004385,0.0197662006504214,-1.14237931654467,-1.14237931654467,-13.8949113271321,6.80076816376182e-44,8.51470838832174e-43
5,"TFCP2(+)",0.00452467836703053,0.01261952158349,-1.47976986488067,-1.47976986488067,-13.8528991108287,1.22179545018837e-43,1.50536866475464e-42
5,"ZNF773(+)",0.00318207874856664,0.0138117065403218,-2.11784979316398,-2.11784979316398,-13.830029557599,1.67951489391868e-43,2.05840281853621e-42
5,"NCOA3(+)",0.00686772926400209,0.0137383160965812,-1.00030000660201,-1.00030000660201,-13.7970441596603,2.65518283364912e-43,3.22018910242824e-42
5,"ZNF250(+)",0.00817509779357803,0.0183614957444613,-1.16737559502699,-1.16737559502699,-13.583014182133,5.05044728081081e-42,5.86483190484155e-41
5,"ZNF793(+)",0.00790397194843849,0.0181824217074089,-1.20189452910577,-1.20189452910577,-13.5677678133132,6.21871595012847e-42,7.16772595244336e-41
5,"RUNX2(+)",0.00564920745652183,0.0127731724990278,-1.17699636521632,-1.17699636521632,-13.4880510849126,1.83897638613379e-41,2.08342568624182e-40
5,"GLYR1(+)",0.00682893576704007,0.0138717479437605,-1.02241681310037,-1.02241681310037,-13.4543638699965,2.90226196364945e-41,3.25628184085789e-40
5,"ZBTB10(+)",0.0124782160964571,0.025963500425254,-1.05707314279221,-1.05707314279221,-13.442747588991,3.39589409257167e-41,3.80094652048082e-40
5,"ZNF669(+)",0.00502841779813279,0.0149068836421751,-1.56780206685118,-1.56780206685118,-13.3431863805392,1.29790986418029e-40,1.42188474507487e-39
5,"ZNF829(+)",0.00449313278384166,0.0131712691210483,-1.55160054897013,-1.55160054897013,-13.2062836687717,8.07119580766096e-40,8.59878544187733e-39
5,"ZNF646(+)",0.00509569634675805,0.0141179786533448,-1.47018214920972,-1.47018214920972,-13.1853017612054,1.06626484962666e-39,1.12563641511723e-38
5,"PPARA(+)",0.00481651096827928,0.0111376224943923,-1.20938077271972,-1.20938077271972,-13.1303664322834,2.20586540502116e-39,2.27694329029406e-38
5,"SP4(+)",0.00325231211608029,0.0091069332476943,-1.48549930845203,-1.48549930845203,-13.1201537852326,2.52422191830594e-39,2.58590249849978e-38
5,"ZNF235(+)",0.00714560597203954,0.0155212383179455,-1.1191152873574,-1.1191152873574,-13.117007709127,2.63120529029393e-39,2.68534751160374e-38
5,"ZNF33B(+)",0.00624544088763227,0.0133709620013173,-1.09822781826398,-1.09822781826398,-13.0943559611661,3.54669951252503e-39,3.58919809056182e-38
5,"ZNF717(+)",0.00948000047069419,0.0225153017026657,-1.24794668579588,-1.24794668579588,-12.944021924486,2.53977228832096e-38,2.49941573712942e-37
5,"HES4(+)",0.00889292561324877,0.0199658938599547,-1.16680754887015,-1.16680754887015,-12.9236934327263,3.30869456464838e-38,3.23555500058773e-37
5,"ZNF607(+)",0.006369018713479,0.0149422557879846,-1.23025481797271,-1.23025481797271,-12.9142552044092,3.74045782565309e-38,3.63481728036791e-37
5,"L3MBTL4(+)",0.00481193218832522,0.0137872620903317,-1.51864757932365,-1.51864757932365,-12.9126337651856,3.82007662776314e-38,3.70443756491853e-37
5,"ZNF675(+)",0.00710031721404343,0.0150154662639349,-1.08049378233489,-1.08049378233489,-12.9108187212784,3.91120209304878e-38,3.78490285879408e-37
5,"LEF1(+)",0.00534892147437388,0.0140969453728792,-1.39806248635915,-1.39806248635915,-12.9005576730569,4.46851645019989e-38,4.2973620934117e-37
5,"ZNF33A(+)",0.00558642854536655,0.0115629015098043,-1.04950517430579,-1.04950517430579,-12.8846820890159,5.49012659471697e-38,5.24725062396303e-37
5,"ZNF569(+)",0.00877697940854124,0.0178069035872014,-1.02064015927976,-1.02064015927976,-12.8707909529801,6.57256235460674e-38,6.26890187621115e-37
5,"ZNF844(+)",0.00795040667944682,0.016993186617819,-1.09585575603285,-1.09585575603285,-12.8217605669025,1.23855864836269e-37,1.16695840195633e-36
5,"ZNF821(+)",0.00558010262787894,0.0130904003826857,-1.23014551475838,-1.23014551475838,-12.8213249563648,1.24553741560855e-37,1.17115815698415e-36
5,"BNC2(+)",0.00460882357791077,0.0136371033293073,-1.56506657674775,-1.56506657674775,-12.7964225539592,1.71679635448046e-37,1.60130904951039e-36
5,"ZNF184(+)",0.00435473680288687,0.011398876674363,-1.38823402219348,-1.38823402219348,-12.7581130272263,2.80923907997324e-37,2.59421779850411e-36
5,"ZNF780A(+)",0.00677616398007946,0.017479513678403,-1.36712422305488,-1.36712422305488,-12.7358242880469,3.73876439098337e-37,3.43892289032035e-36
5,"ZNF382(+)",0.00351445671579111,0.0151354896136146,-2.10656143821787,-2.10656143821787,-12.7123497201815,5.04940492574319e-37,4.5899189589192e-36
5,"ZNF345(+)",0.00905058236711581,0.0218810727073121,-1.27360084202281,-1.27360084202281,-12.7040005182088,5.61826344128006e-37,5.08710208279647e-36
5,"MTERF2(+)",0.00763505901811232,0.0161964870452395,-1.08496961819856,-1.08496961819856,-12.695820720334,6.23726418945173e-37,5.6147465426363e-36
5,"ZNF460(+)",0.00863565245844379,0.0230621018103594,-1.41714680892221,-1.41714680892221,-12.667844843579,8.91296011798403e-37,7.97701343892791e-36
5,"ZBTB37(+)",0.00640104836779566,0.0141626687624606,-1.14571290870095,-1.14571290870095,-12.627042656547,1.49803114422e-36,1.32793027956143e-35
5,"ZNF251(+)",0.00641209628958113,0.0162950687639141,-1.34556730816555,-1.34556730816555,-12.5719863246978,3.0106351104394e-36,2.65358635445749e-35
